File name,Number of Locations,Number of trucks,Capacity,Optimal,Achieved,2-opt,Routes,Work time
A-n32-k5,32,5,100,784,813.775,True,"[[1, 15, 19, 9, 10, 23, 16, 11, 26, 6, 21, 1], [1, 27, 7, 4, 3, 24, 29, 5, 12, 30, 1], [1, 8, 14, 18, 20, 32, 22, 1], [1, 25, 17, 2, 13, 31, 1], [1, 28, 1]]",25.458
A-n33-k5,33,5,100,661,669.566,True,"[[1, 5, 13, 28, 26, 31, 11, 1], [1, 21, 6, 27, 8, 9, 14, 33, 3, 1], [1, 16, 18, 10, 4, 17, 30, 12, 1], [1, 32, 2, 22, 15, 20, 7, 25, 1], [1, 24, 19, 29, 23, 1]]",51.872
A-n33-k6,33,6,100,742,757.815,True,"[[1, 32, 24, 25, 27, 23, 6, 14, 11, 1], [1, 33, 26, 17, 31, 28, 29, 1], [1, 18, 12, 30, 20, 8, 1], [1, 5, 9, 4, 3, 16, 10, 21, 7, 1], [1, 13, 22, 1], [1, 2, 19, 15, 1]]",45.979
A-n34-k5,34,5,100,778,794.181,True,"[[1, 11, 33, 29, 32, 26, 18, 20, 8, 1], [1, 15, 16, 9, 12, 24, 2, 28, 1], [1, 34, 17, 23, 4, 13, 10, 3, 19, 1], [1, 6, 31, 25, 30, 7, 1], [1, 27, 5, 21, 22, 14, 1]]",50.484
A-n36-k5,36,5,100,799,829.63,True,"[[1, 2, 23, 33, 14, 18, 31, 30, 34, 32, 20, 5, 7, 1], [1, 16, 9, 36, 3, 24, 35, 15, 29, 1], [1, 12, 26, 28, 19, 22, 25, 17, 1], [1, 6, 13, 4, 10, 21, 1], [1, 11, 8, 27, 1]]",37.618
A-n37-k5,37,5,100,669,710.542,True,"[[1, 4, 18, 15, 24, 25, 10, 12, 28, 9, 26, 36, 19, 32, 29, 1], [1, 8, 34, 6, 7, 11, 14, 23, 17, 1], [1, 16, 35, 37, 31, 27, 33, 30, 5, 1], [1, 21, 20, 3, 13, 2, 1], [1, 22, 1]]",51.076
A-n37-k6,37,6,100,949,983.358,True,"[[1, 19, 5, 11, 12, 13, 23, 24, 29, 3, 2, 1], [1, 15, 18, 35, 32, 20, 21, 7, 1], [1, 28, 33, 36, 26, 1], [1, 9, 4, 6, 34, 10, 22, 1], [1, 27, 31, 16, 14, 1], [1, 37, 30, 25, 17, 8, 1]]",52.33
A-n38-k5,38,5,100,730,758.536,True,"[[1, 22, 27, 13, 4, 2, 5, 17, 26, 20, 19, 1], [1, 8, 23, 28, 12, 6, 38, 1], [1, 10, 9, 24, 36, 34, 18, 25, 1], [1, 29, 32, 7, 35, 30, 31, 11, 1], [1, 21, 33, 16, 14, 37, 3, 15, 1]]",70.264
A-n39-k5,39,5,100,822,875.803,True,"[[1, 9, 12, 18, 27, 7, 37, 29, 14, 31, 1], [1, 19, 10, 13, 34, 26, 20, 15, 1], [1, 6, 17, 8, 4, 23, 33, 11, 1], [1, 25, 3, 36, 38, 35, 28, 1], [1, 5, 32, 2, 24, 21, 30, 16, 39, 22, 1]]",44.334
A-n39-k6,39,6,100,831,858.23,True,"[[1, 3, 20, 34, 26, 36, 15, 32, 38, 39, 1], [1, 24, 23, 35, 28, 11, 17, 5, 9, 8, 21, 1], [1, 33, 19, 22, 18, 37, 2, 7, 1], [1, 14, 31, 16, 6, 1], [1, 30, 29, 10, 13, 4, 25, 1], [1, 12, 27, 1]]",68.759
